indice_tiempo,nivel_general
1943-01-01,2.05049e-12
1943-02-01,2.03862e-12
1943-03-01,2.07078e-12
1943-04-01,2.08452e-12
1943-05-01,2.06641e-12
1943-06-01,2.06859e-12
1943-07-01,1.95183e-12
1943-08-01,1.97213e-12
1943-09-01,1.95402e-12
1943-10-01,1.97431e-12
1943-11-01,1.97431e-12
1943-12-01,1.96807e-12
1944-01-01,1.9818e-12
1944-02-01,1.98586e-12
1944-03-01,1.99866e-12
1944-04-01,1.97618e-12
1944-05-01,1.96807e-12
1944-06-01,2.00397e-12
1944-07-01,2.0021e-12
1944-08-01,2.03051e-12
1944-09-01,2.02645e-12
1944-10-01,2.04018e-12
1944-11-01,2.04018e-12
1944-12-01,2.04424e-12
1945-01-01,2.20346e-12
1945-02-01,2.24561e-12
1945-03-01,2.41294e-12
1945-04-01,2.41513e-12
1945-05-01,2.42356e-12
1945-06-01,2.42481e-12
1945-07-01,2.45322e-12
1945-08-01,2.43105e-12
1945-09-01,2.4451e-12
1945-10-01,2.44697e-12
1945-11-01,2.45134e-12
1945-12-01,2.50535e-12
1946-01-01,2.6811e-12
1946-02-01,2.6852e-12
1946-03-01,2.7638e-12
1946-04-01,2.8116e-12
1946-05-01,2.8041e-12
1946-06-01,2.8519e-12
1946-07-01,2.8581e-12
1946-08-01,2.8382e-12
1946-09-01,2.8422e-12
1946-10-01,2.9125e-12
1946-11-01,2.9249e-12
1946-12-01,2.9749e-12
1947-01-01,2.9493e-12
1947-02-01,2.9693e-12
1947-03-01,3.1507e-12
1947-04-01,3.1525e-12
1947-05-01,3.156e-12
1947-06-01,3.3033e-12
1947-07-01,3.2671e-12
1947-08-01,3.2971e-12
1947-09-01,3.3011e-12
1947-10-01,3.283e-12
1947-11-01,3.3136e-12
1947-12-01,3.4185e-12
1948-01-01,3.3636e-12
1948-02-01,3.3539e-12
1948-03-01,3.4145e-12
1948-04-01,3.4344e-12
1948-05-01,3.5194e-12
1948-06-01,3.6199e-12
1948-07-01,3.6118e-12
1948-08-01,3.6861e-12
1948-09-01,3.8372e-12
1948-10-01,3.849e-12
1948-11-01,3.8575e-12
1948-12-01,4.0629e-12
1949-01-01,4.0851e-12
1949-02-01,4.0747e-12
1949-03-01,4.3526e-12
1949-04-01,4.5643e-12
1949-05-01,4.697e-12
1949-06-01,4.7519e-12
1949-07-01,4.8399e-12
1949-08-01,4.9227e-12
1949-09-01,4.9998e-12
1949-10-01,5.1365e-12
1949-11-01,5.3017e-12
1949-12-01,5.4303e-12
1950-01-01,5.3338e-12
1950-02-01,5.4728e-12
1950-03-01,5.4746e-12
1950-04-01,5.5936e-12
1950-05-01,5.8596e-12
1950-06-01,6.0269e-12
1950-07-01,6.0288e-12
1950-08-01,6.0406e-12
1950-09-01,6.2801e-12
1950-10-01,6.5183e-12
1950-11-01,6.5039e-12
1950-12-01,6.631e-12
1951-01-01,6.5664e-12
1951-02-01,6.7599e-12
1951-03-01,6.7802e-12
1951-04-01,7.3927e-12
1951-05-01,7.9441e-12
1951-06-01,8.2079e-12
1951-07-01,8.2703e-12
1951-08-01,9.0364e-12
1951-09-01,8.8647e-12
1951-10-01,9.1348e-12
1951-11-01,9.1648e-12
1951-12-01,9.9605e-12
1952-01-01,1.03495e-11
1952-02-01,1.04257e-11
1952-03-01,1.07301e-11
1952-04-01,1.14007e-11
1952-05-01,1.15799e-11
1952-06-01,1.18196e-11
1952-07-01,1.13361e-11
1952-08-01,1.12895e-11
1952-09-01,1.16689e-11
1952-10-01,1.17875e-11
1952-11-01,1.18175e-11
1952-12-01,1.18599e-11
1953-01-01,1.17076e-11
1953-02-01,1.23875e-11
1953-03-01,1.23291e-11
1953-04-01,1.18118e-11
1953-05-01,1.16202e-11
1953-06-01,1.16002e-11
1953-07-01,1.1691e-11
1953-08-01,1.17007e-11
1953-09-01,1.16202e-11
1953-10-01,1.15702e-11
1953-11-01,1.16529e-11
1953-12-01,1.17756e-11
1954-01-01,1.15437e-11
1954-02-01,1.15174e-11
1954-03-01,1.15355e-11
1954-04-01,1.17738e-11
1954-05-01,1.17516e-11
1954-06-01,1.19367e-11
1954-07-01,1.22027e-11
1954-08-01,1.22889e-11
1954-09-01,1.25876e-11
1954-10-01,1.2952e-11
1954-11-01,1.30847e-11
1954-12-01,1.3661e-11
1955-01-01,1.33625e-11
1955-02-01,1.33806e-11
1955-03-01,1.33993e-11
1955-04-01,1.35923e-11
1955-05-01,1.36104e-11
1955-06-01,1.36909e-11
1955-07-01,1.37512e-11
1955-08-01,1.3798e-11
1955-09-01,1.38923e-11
1955-10-01,1.38804e-11
1955-11-01,1.38867e-11
1955-12-01,1.46818e-11
1956-01-01,1.44908e-11
1956-02-01,1.43796e-11
1956-03-01,1.43575e-11
1956-04-01,1.48632e-11
1956-05-01,1.54333e-11
1956-06-01,1.60318e-11
1956-07-01,1.5949e-11
1956-08-01,1.58729e-11
1956-09-01,1.59609e-11
1956-10-01,1.61644e-11
1956-11-01,1.64145e-11
1956-12-01,1.71297e-11
1957-01-01,1.69399e-11
1957-02-01,1.70692e-11
1957-03-01,1.76914e-11
1957-04-01,1.8165e-11
1957-05-01,1.86739e-11
1957-06-01,1.93913e-11
1957-07-01,1.97481e-11
1957-08-01,2.08093e-11
1957-09-01,2.07634e-11
1957-10-01,2.09828e-11
1957-11-01,2.15108e-11
1957-12-01,2.15204e-11
1958-01-01,2.09504e-11
1958-02-01,2.12404e-11
1958-03-01,2.15913e-11
1958-04-01,2.25238e-11
1958-05-01,2.39777e-11
1958-06-01,2.50354e-11
1958-07-01,2.59436e-11
1958-08-01,2.71487e-11
1958-09-01,2.76678e-11
1958-10-01,2.84901e-11
1958-11-01,2.99378e-11
1958-12-01,3.24419e-11
1959-01-01,3.82028e-11
1959-02-01,4.16713e-11
1959-03-01,4.47289e-11
1959-04-01,4.84271e-11
1959-05-01,5.3479e-11
1959-06-01,5.68585e-11
1959-07-01,5.85975e-11
1959-08-01,6.08125e-11
1959-09-01,6.18905e-11
1959-10-01,6.22729e-11
1959-11-01,6.35763e-11
1959-12-01,6.54095e-11
1960-01-01,6.72018e-11
1960-02-01,6.77557e-11
1960-03-01,6.82399e-11
1960-04-01,6.81709e-11
1960-05-01,6.80326e-11
1960-06-01,6.76867e-11
1960-07-01,6.83092e-11
1960-08-01,6.86554e-11
1960-09-01,6.87247e-11
1960-10-01,6.92782e-11
1960-11-01,7.10084e-11
1960-12-01,7.75142e-11
1961-01-01,7.28079e-11
1961-02-01,7.37076e-11
1961-03-01,7.45384e-11
1961-04-01,7.61992e-11
1961-05-01,7.67528e-11
1961-06-01,7.77908e-11
1961-07-01,7.89675e-11
1961-08-01,7.95903e-11
1961-09-01,8.0421e-11
1961-10-01,8.049e-11
1961-11-01,8.30509e-11
1961-12-01,9.02486e-11
1962-01-01,8.66496e-11
1962-02-01,8.78956e-11
1962-03-01,8.92795e-11
1962-04-01,9.21864e-11
1962-05-01,9.53701e-11
1962-06-01,9.67541e-11
1962-07-01,1.011145e-10
1962-08-01,1.024294e-10
1962-09-01,1.062173e-10
1962-10-01,1.080355e-10
1962-11-01,1.074816e-10
1962-12-01,1.179323e-10
1963-01-01,1.130877e-10
1963-02-01,1.141257e-10
1963-03-01,1.195239e-10
1963-04-01,1.213927e-10
1963-05-01,1.213927e-10
1963-06-01,1.227769e-10
1963-07-01,1.246454e-10
1963-08-01,1.251993e-10
1963-09-01,1.27137e-10
1963-10-01,1.310819e-10
1963-11-01,1.34404e-10
1963-12-01,1.460313e-10
1964-01-01,1.453389e-10
1964-02-01,1.442315e-10
1964-03-01,1.438163e-10
1964-04-01,1.49353e-10
1964-05-01,1.49561e-10
1964-06-01,1.51637e-10
1964-07-01,1.521909e-10
1964-08-01,1.514294e-10
1964-09-01,1.530906e-10
1964-10-01,1.591116e-10
1964-11-01,1.609111e-10
1964-12-01,1.724691e-10
1965-01-01,1.66102e-10
1965-02-01,1.7413e-10
1965-03-01,1.78352e-10
1965-04-01,1.80221e-10
1965-05-01,1.84096e-10
1965-06-01,1.91502e-10
1965-07-01,1.99876e-10
1965-08-01,2.04305e-10
1965-09-01,2.0735e-10
1965-10-01,2.1268e-10
1965-11-01,2.20362e-10
1965-12-01,2.38356e-10
1966-01-01,2.32958e-10
1966-02-01,2.38079e-10
1966-03-01,2.4327e-10
1966-04-01,2.48322e-10
1966-05-01,2.50883e-10
1966-06-01,2.53028e-10
1966-07-01,2.57043e-10
1966-08-01,2.60018e-10
1966-09-01,2.63964e-10
1966-10-01,2.72407e-10
1966-11-01,2.78774e-10
1966-12-01,3.09711e-10
1967-01-01,2.9518e-10
1967-02-01,3.0148e-10
1967-03-01,3.0812e-10
1967-04-01,3.1186e-10
1967-05-01,3.1483e-10
1967-06-01,3.2854e-10
1967-07-01,3.4494e-10
1967-08-01,3.4611e-10
1967-09-01,3.4771e-10
1967-10-01,3.5767e-10
1967-11-01,3.6591e-10
1967-12-01,3.9442e-10
1968-01-01,3.8086e-10
1968-02-01,3.8459e-10
1968-03-01,3.821e-10
1968-04-01,3.8051e-10
1968-05-01,3.8093e-10
1968-06-01,3.8225e-10
1968-07-01,3.8203e-10
1968-08-01,3.8266e-10
1968-09-01,3.8799e-10
1968-10-01,3.956e-10
1968-11-01,3.9691e-10
1968-12-01,4.3214e-10
1969-01-01,4.1221e-10
1969-02-01,4.0667e-10
1969-03-01,4.1124e-10
1969-04-01,4.1166e-10
1969-05-01,4.0598e-10
1969-06-01,4.0999e-10
1969-07-01,4.1546e-10
1969-08-01,4.1235e-10
1969-09-01,4.2003e-10
1969-10-01,4.264e-10
1969-11-01,4.2944e-10
1969-12-01,4.6093e-10
1970-01-01,4.392e-10
1970-02-01,4.4515e-10
1970-03-01,4.509e-10
1970-04-01,4.5436e-10
1970-05-01,4.5772e-10
1970-06-01,4.6107e-10
1970-07-01,4.6674e-10
1970-08-01,4.7201e-10
1970-09-01,4.8163e-10
1970-10-01,5.0073e-10
1970-11-01,5.1367e-10
1970-12-01,5.6115e-10
1971-01-01,5.5956e-10
1971-02-01,5.7824e-10
1971-03-01,5.8433e-10
1971-04-01,5.8959e-10
1971-05-01,6.0392e-10
1971-06-01,6.2274e-10
1971-07-01,6.4953e-10
1971-08-01,6.6655e-10
1971-09-01,6.7257e-10
1971-10-01,6.7949e-10
1971-11-01,6.9784e-10
1971-12-01,7.8068e-10
1972-01-01,8.2137e-10
1972-02-01,8.5105e-10
1972-03-01,8.8705e-10
1972-04-01,9.3031e-10
1972-05-01,9.4526e-10
1972-06-01,9.9723e-10
1972-07-01,1.04672e-09
1972-08-01,1.0454e-09
1972-09-01,1.07101e-09
1972-10-01,1.12285e-09
1972-11-01,1.17759e-09
1972-12-01,1.28148e-09
1973-01-01,1.34072e-09
1973-02-01,1.44218e-09
1973-03-01,1.56607e-09
1973-04-01,1.63603e-09
1973-05-01,1.69265e-09
1973-06-01,1.64296e-09
1973-07-01,1.64282e-09
1973-08-01,1.65597e-09
1973-09-01,1.66462e-09
1973-10-01,1.69043e-09
1973-11-01,1.70386e-09
1973-12-01,1.84234e-09
1974-01-01,1.73695e-09
1974-02-01,1.76414e-09
1974-03-01,1.78511e-09
1974-04-01,1.83577e-09
1974-05-01,1.89688e-09
1974-06-01,1.96955e-09
1974-07-01,2.01476e-09
1974-08-01,2.05219e-09
1974-09-01,2.12002e-09
1974-10-01,2.20016e-09
1974-11-01,2.29117e-09
1974-12-01,2.58115e-09
1975-01-01,2.6558e-09
1975-02-01,2.7784e-09
1975-03-01,3.0037e-09
1975-04-01,3.295e-09
1975-05-01,3.4232e-09
1975-06-01,4.1469e-09
1975-07-01,5.5872e-09
1975-08-01,6.8428e-09
1975-09-01,7.5823e-09
1975-10-01,8.6282e-09
1975-11-01,9.4007e-09
1975-12-01,1.1227e-08
1976-01-01,1.22261e-08
1976-02-01,1.45473e-08
1976-03-01,2.00128e-08
1976-04-01,2.68018e-08
1976-05-01,3.00427e-08
1976-06-01,3.08634e-08
1976-07-01,3.21722e-08
1976-08-01,3.39464e-08
1976-09-01,3.75297e-08
1976-10-01,4.07047e-08
1976-11-01,4.39422e-08
1976-12-01,5.02463e-08
1977-01-01,5.42823e-08
1977-02-01,5.87632e-08
1977-03-01,6.31976e-08
1977-04-01,6.69964e-08
1977-05-01,7.13484e-08
1977-06-01,7.68046e-08
1977-07-01,8.24509e-08
1977-08-01,9.17989e-08
1977-09-01,9.94155e-08
1977-10-01,1.118358e-07
1977-11-01,1.21944e-07
1977-12-01,1.30859e-07
1978-01-01,1.48339e-07
1978-02-01,1.57542e-07
1978-03-01,1.72496e-07
1978-04-01,1.91599e-07
1978-05-01,2.08252e-07
1978-06-01,2.2177e-07
1978-07-01,2.36402e-07
1978-08-01,2.54859e-07
1978-09-01,2.71149e-07
1978-10-01,2.97605e-07
1978-11-01,3.23776e-07
1978-12-01,3.53116e-07
1979-01-01,3.98212e-07
1979-02-01,4.27852e-07
1979-03-01,4.6101e-07
1979-04-01,4.93288e-07
1979-05-01,5.27426e-07
1979-06-01,5.7856e-07
1979-07-01,6.19938e-07
1979-08-01,6.90922e-07
1979-09-01,7.38219e-07
1979-10-01,7.70262e-07
1979-11-01,8.09849e-07
1979-12-01,8.46544e-07
1980-01-01,9.07578e-07
1980-02-01,9.56092e-07
1980-03-01,1.011507e-06
1980-04-01,1.073977e-06
1980-05-01,1.136103e-06
1980-06-01,1.201289e-06
1980-07-01,1.256235e-06
1980-08-01,1.299224e-06
1980-09-01,1.35826e-06
1980-10-01,1.46169e-06
1980-11-01,1.53006e-06
1980-12-01,1.588409e-06
1981-01-01,1.6662e-06
1981-02-01,1.7358e-06
1981-03-01,1.8398e-06
1981-04-01,1.9849e-06
1981-05-01,2.1345e-06
1981-06-01,2.3346e-06
1981-07-01,2.5737e-06
1981-08-01,2.7776e-06
1981-09-01,2.9761e-06
1981-10-01,3.1494e-06
1981-11-01,3.3764e-06
1981-12-01,3.6736e-06
1982-01-01,4.1116e-06
1982-02-01,4.3289e-06
1982-03-01,4.533e-06
1982-04-01,4.7229e-06
1982-05-01,4.8674e-06
1982-06-01,5.2517e-06
1982-07-01,6.1056e-06
1982-08-01,7.0025e-06
1982-09-01,8.1976e-06
1982-10-01,9.2378e-06
1982-11-01,1.02858e-05
1982-12-01,1.13782e-05
1983-01-01,1.31964e-05
1983-02-01,1.49166e-05
1983-03-01,1.65962e-05
1983-04-01,1.83008e-05
1983-05-01,1.99585e-05
1983-06-01,2.31179e-05
1983-07-01,2.59963e-05
1983-08-01,3.04794e-05
1983-09-01,3.69918e-05
1983-10-01,4.327e-05
1983-11-01,5.15931e-05
1983-12-01,6.07247e-05
1984-01-01,6.8339e-05
1984-02-01,7.9922e-05
1984-03-01,9.6124e-05
1984-04-01,0.000113919
1984-05-01,0.000133369
1984-06-01,0.000157252
1984-07-01,0.000186005
1984-08-01,0.000228494
1984-09-01,0.000291433
1984-10-01,0.000347752
1984-11-01,0.000399826
1984-12-01,0.000478499
1985-01-01,0.00059879
1985-02-01,0.00072273
1985-03-01,0.0009141
1985-04-01,0.00118353
1985-05-01,0.00148042
1985-06-01,0.00193248
1985-07-01,0.00205205
1985-08-01,0.00211511
1985-09-01,0.00215726
1985-10-01,0.00219909
1985-11-01,0.00225123
1985-12-01,0.00232272
1986-01-01,0.00239296
1986-02-01,0.00243355
1986-03-01,0.00254656
1986-04-01,0.00266707
1986-05-01,0.00277446
1986-06-01,0.00290059
1986-07-01,0.00309696
1986-08-01,0.00336888
1986-09-01,0.00361239
1986-10-01,0.00383124
1986-11-01,0.00403416
1986-12-01,0.00422523
1987-01-01,0.0045455
1987-02-01,0.004839
1987-03-01,0.0052386
1987-04-01,0.0054134
1987-05-01,0.0056382
1987-06-01,0.0060909
1987-07-01,0.0067059
1987-08-01,0.0076269
1987-09-01,0.0085166
1987-10-01,0.0101838
1987-11-01,0.0112296
1987-12-01,0.0116105
1988-01-01,0.012666
1988-02-01,0.013986
1988-03-01,0.01605
1988-04-01,0.018816
1988-05-01,0.021772
1988-06-01,0.025684
1988-07-01,0.032271
1988-08-01,0.041185
1988-09-01,0.046002
1988-10-01,0.050138
1988-11-01,0.053001
1988-12-01,0.056629
1989-01-01,0.06168
1989-02-01,0.067596
1989-03-01,0.079091
1989-04-01,0.105484
1989-05-01,0.188256
1989-06-01,0.403757
1989-07-01,1.19768
1989-08-01,1.651138
1989-09-01,1.805608
1989-10-01,1.906637
1989-11-01,2.030931
1989-12-01,2.844785
1990-01-01,5.098
1990-02-01,8.2368
1990-03-01,16.1052
1990-04-01,17.9367
1990-05-01,20.3775
1990-06-01,23.2095
1990-07-01,25.722
1990-08-01,29.6672
1990-09-01,34.3182
1990-10-01,36.9574
1990-11-01,39.2416
1990-12-01,41.0767
1991-01-01,44.239
1991-02-01,56.1793
1991-03-01,62.3828
1991-04-01,65.8204
1991-05-01,67.6664
1991-06-01,69.7801
1991-07-01,71.5881
1991-08-01,72.5194
1991-09-01,73.8004
1991-10-01,74.7973
1991-11-01,75.0882
1991-12-01,75.5757
1992-01-01,77.8752
1992-02-01,79.5527
1992-03-01,81.223
1992-04-01,82.2681
1992-05-01,82.8218
1992-06-01,83.4712
1992-07-01,84.9142
1992-08-01,86.1851
1992-09-01,87.0761
1992-10-01,88.1784
1992-11-01,88.5848
1992-12-01,88.8361
1993-01-01,89.5756
1993-02-01,90.2299
1993-03-01,90.9083
1993-04-01,91.8586
1993-05-01,93.0404
1993-06-01,93.7096
1993-07-01,94.0111
1993-08-01,94.0261
1993-09-01,94.801
1993-10-01,95.3369
1993-11-01,95.3914
1993-12-01,95.3789
1994-01-01,95.4749
1994-02-01,95.4715
1994-03-01,95.6046
1994-04-01,95.8373
1994-05-01,96.1695
1994-06-01,96.5417
1994-07-01,97.433
1994-08-01,97.634
1994-09-01,98.3022
1994-10-01,98.6172
1994-11-01,98.8402
1994-12-01,99.0551
1995-01-01,100.2893
1995-02-01,100.2866
1995-03-01,99.836
1995-04-01,100.2926
1995-05-01,100.3137
1995-06-01,100.1071
1995-07-01,100.5132
1995-08-01,100.2697
1995-09-01,100.4345
1995-10-01,100.776
1995-11-01,100.5458
1995-12-01,100.6477
1996-01-01,100.9494
1996-02-01,100.6214
1996-03-01,100.0785
1996-04-01,100.0801
1996-05-01,99.9908
1996-06-01,99.9934
1996-07-01,100.5356
1996-08-01,100.4577
1996-09-01,100.6401
1996-10-01,101.1474
1996-11-01,100.9903
1996-12-01,100.7024
1997-01-01,101.1727
1997-02-01,101.5617
1997-03-01,101.0611
1997-04-01,100.7271
1997-05-01,100.6435
1997-06-01,100.8726
1997-07-01,101.0968
1997-08-01,101.2632
1997-09-01,101.2147
1997-10-01,101.0561
1997-11-01,100.8608
1997-12-01,101.0327
1998-01-01,101.6677
1998-02-01,102.0222
1998-03-01,101.8941
1998-04-01,101.9056
1998-05-01,101.832
1998-06-01,102.0264
1998-07-01,102.3453
1998-08-01,102.3659
1998-09-01,102.3343
1998-10-01,101.9599
1998-11-01,101.7178
1998-12-01,101.704
1999-01-01,102.1834
1999-02-01,102.0193
1999-03-01,101.2533
1999-04-01,101.1542
1999-05-01,100.6561
1999-06-01,100.65
1999-07-01,100.8371
1999-08-01,100.4575
1999-09-01,100.2574
1999-10-01,100.2417
1999-11-01,99.9248
1999-12-01,99.8627
2000-01-01,100.7068
2000-02-01,100.7109
2000-03-01,100.1788
2000-04-01,100.0661
2000-05-01,99.6772
2000-06-01,99.4929
2000-07-01,99.925
2000-08-01,99.71
2000-09-01,99.5569
2000-10-01,99.74
2000-11-01,99.25
2000-12-01,99.13
2001-01-01,99.21
2001-02-01,98.99
2001-03-01,99.18
2001-04-01,99.84
2001-05-01,99.9
2001-06-01,99.18
2001-07-01,98.86
2001-08-01,98.51
2001-09-01,98.43
2001-10-01,98.0
2001-11-01,97.68
2001-12-01,97.6
2002-01-01,99.84
2002-02-01,102.97
2002-03-01,107.05
2002-04-01,118.17
2002-05-01,122.91
2002-06-01,127.36
2002-07-01,131.42
2002-08-01,134.5
2002-09-01,136.31
2002-10-01,136.61
2002-11-01,137.31
2002-12-01,137.57
2003-01-01,139.38
2003-02-01,140.17
2003-03-01,140.99
2003-04-01,141.07
2003-05-01,140.52
2003-06-01,140.4
2003-07-01,141.03
2003-08-01,141.06
2003-09-01,141.12
2003-10-01,141.95
2003-11-01,142.3
2003-12-01,142.6
2004-01-01,143.2
2004-02-01,143.34
2004-03-01,144.2
2004-04-01,145.43
2004-05-01,146.3
2004-06-01,147.32
2004-07-01,148.0
2004-08-01,148.51
2004-09-01,149.45
2004-10-01,150.04
2004-11-01,150.04
2004-12-01,151.3
2005-01-01,153.54
2005-02-01,155.0
2005-03-01,157.39
2005-04-01,158.16
2005-05-01,159.11
2005-06-01,160.57
2005-07-01,162.18
2005-08-01,162.89
2005-09-01,164.79
2005-10-01,166.07
2005-11-01,168.08
2005-12-01,169.95
2006-01-01,172.12
2006-02-01,172.8
2006-03-01,174.88
2006-04-01,176.58
2006-05-01,177.41
2006-06-01,178.27
2006-07-01,179.37
2006-08-01,180.38
2006-09-01,182.0
2006-10-01,183.56
2006-11-01,184.86
2006-12-01,186.67
2007-01-01,188.81
2007-02-01,189.38
2007-03-01,190.83
2007-04-01,192.25
2007-05-01,193.05
2007-06-01,193.9
2007-07-01,194.87
2007-08-01,196.01
2007-09-01,197.58
2007-10-01,198.93
2007-11-01,200.63
2007-12-01,202.49
2008-01-01,204.37
2008-02-01,205.33
2008-03-01,207.65
2008-04-01,209.37
